Tarih,y,reer,rk,x,mh,ystar
2017-10,13.9672,-2.9891,2.4185,18.9902,0.9656,0.369034639
2017-11,-0.7635,-4.1044,2.7357,0.8057,1.3413,0.995265716
2017-12,4.1753,1.055,-0.1139,-2.6176,1.1164,0.493679927
2018-01,-16.0243,0.0712,0.6316,-11.1552,2.743,-0.970585285
2018-02,-3.5178,1.1737,1.375,5.4196,-2.271,0.284683293
2018-03,14.5556,-1.1366,2.3289,17.5697,0.6234,0.538209747
2018-04,-4.7659,-1.7068,2.021,-10.4161,1.3405,0.19164914
2018-05,5.3786,-2.6167,4.0263,4.2086,1.0671,0.079653762
2018-06,-11.4965,-1.1887,0.633,-9.9135,-0.7809,-0.09358012
2018-07,12.7753,-0.3258,2.5484,7.1787,-0.0333,0.065662056
2018-08,-16.566,-10.9505,10.4913,-11.866,-0.0111,0.591989002
2018-09,13.8451,-1.1012,-4.0067,17.3495,0.0222,-0.46292728
2018-10,4.3819,10.1356,-4.6319,8.3083,0.9425,0.468196537
2018-11,-3.0212,7.5049,-3.0666,-1.4579,-1.5158,-0.579087615
2018-12,0.8692,-0.2411,0.1999,-10.9807,-1.0707,-0.340060165
2019-01,-13.7275,-1.1723,-0.6292,-4.9229,-1.2289,-0.029881697
